detailUrl,zpid,status,homeType,streetAddress,unit,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,lotAreaValue,lotAreaUnit,listingdate
https://www.zillow.com/homedetails/82-Lois-St-Kitchener-ON-N2B-2A1/2067760371_zpid/,2067760371,House for sale,SINGLE_FAMILY,82 Lois St,,N2B2A1,Kitchener,ON,43.46164,-80.4646,899999,3,4,,6750,sqft,2024-05-20
https://www.zillow.com/homedetails/122-Wilfred-Ave-Kitchener-ON-N2A-1X1/371982882_zpid/,371982882,House for sale,SINGLE_FAMILY,122 Wilfred Ave,,N2A1X1,Kitchener,ON,43.43854,-80.45256,550000,2,3,1029,3756.1832,sqft,2024-03-07
https://www.zillow.com/homedetails/75-Condor-St-Kitchener-ON-N2K-0B2/348425845_zpid/,348425845,House for sale,SINGLE_FAMILY,75 Condor St,,N2K0B2,Kitchener,ON,43.4968,-80.478294,1199999,5,5,2665,,,2024-05-17
https://www.zillow.com/homedetails/565-Isaiah-Cres-Kitchener-ON-N2E-0E6/401719042_zpid/,401719042,House for sale,SINGLE_FAMILY,565 Isaiah Cres,,N2E0E6,Kitchener,ON,43.400723,-80.521255,948000,4,4,,,,2024-03-08
https://www.zillow.com/homedetails/410-King-St-W-609-Kitchener-ON-N2G-1C3/2064596287_zpid/,2064596287,Condo for sale,CONDO,410 King St W #609,# 609,N2G1C3,Kitchener,ON,43.453068,-80.49755,539900,2,2,976,,,2024-05-07
https://www.zillow.com/homedetails/115-S-Creek-Dr-11C-Kitchener-ON-N2P-0H2/2064711429_zpid/,2064711429,Townhouse for sale,TOWNHOUSE,115 S Creek Dr #11C,# 11C,N2P0H2,Kitchener,ON,43.375366,-80.44038,485000,1,1,939,,,2024-04-27
https://www.zillow.com/homedetails/936-Bridgemill-Ct-Kitchener-ON-N2A-0K3/377044889_zpid/,377044889,House for sale,SINGLE_FAMILY,936 Bridgemill Ct,,N2A0K3,Kitchener,ON,43.451977,-80.41629,1799999,5,5,3395,,,2024-06-01
https://www.zillow.com/homedetails/65-Farrier-Dr-Kitchener-ON-N2P-1J9/2070516835_zpid/,2070516835,House for sale,SINGLE_FAMILY,65 Farrier Dr,,N2P1J9,Kitchener,ON,43.398575,-80.44412,849900,2,4,,,,2024-06-13
https://www.zillow.com/homedetails/77-Overlea-Dr-Kitchener-ON-N2M-1S9/2057283585_zpid/,2057283585,House for sale,SINGLE_FAMILY,77 Overlea Dr,,N2M1S9,Kitchener,ON,43.43362,-80.51532,599000,2,4,853,,,2024-07-19
https://www.zillow.com/homedetails/937-Manorbrook-Ct-Kitchener-ON-N2P-2Y2/374912229_zpid/,374912229,House for sale,SINGLE_FAMILY,937 Manorbrook Ct,,N2P2Y2,Kitchener,ON,43.376583,-80.43072,1299900,4,5,,4158.1133,sqft,2024-03-07
https://www.zillow.com/homedetails/243-Connaught-St-Kitchener-ON-N2C-1B4/2066426142_zpid/,2066426142,House for sale,SINGLE_FAMILY,243 Connaught St,,N2C1B4,Kitchener,ON,43.431023,-80.4545,774888,3,4,1454,,,2024-05-15
https://www.zillow.com/homedetails/404-King-St-W-132-Kitchener-ON-N2G-4Z9/351937084_zpid/,351937084,Condo for sale,CONDO,404 King St W #132,# 132,N2G4Z9,Kitchener,ON,43.453167,-80.49714,398000,1,1,600,,,2024-05-23
https://www.zillow.com/homedetails/155-Saint-Leger-St-412-Kitchener-ON-N2H-0B9/396849085_zpid/,396849085,Condo for sale,CONDO,155 Saint Leger St #412,# 412,N2H0B9,Kitchener,ON,43.46168,-80.488525,419900,1,1,645,,,2024-03-18
https://www.zillow.com/homedetails/42-Green-Valley-Dr-77-Kitchener-ON-N2P-2J8/2058406070_zpid/,2058406070,Townhouse for sale,TOWNHOUSE,42 Green Valley Dr #77,# 77,N2P2J8,Kitchener,ON,43.397644,-80.43283,639900,2,3,1600,,,2024-05-09
https://www.zillow.com/homedetails/119-Chandos-Dr-Kitchener-ON-N2A-3Z5/2072525916_zpid/,2072525916,House for sale,SINGLE_FAMILY,119 Chandos Dr,,N2A3Z5,Kitchener,ON,43.427094,-80.40949,1399000,4,5,2748,,,2024-01-29
https://www.zillow.com/homedetails/500-Westmount-Rd-W-311-Kitchener-ON-N2M-5M9/2070198390_zpid/,2070198390,Condo for sale,CONDO,500 Westmount Rd W #311,# 311,N2M5M9,Kitchener,ON,43.446938,-80.52255,429000,2,2,,,,2024-03-18
https://www.zillow.com/homedetails/96-Montana-Cres-Kitchener-ON-N2N-2S1/2065454552_zpid/,2065454552,House for sale,SINGLE_FAMILY,96 Montana Cres,,N2N2S1,Kitchener,ON,43.42639,-80.53763,885000,3,3,1561,,,2024-01-04
https://www.zillow.com/homedetails/250-Southwood-Dr-Kitchener-ON-N2E-2B1/2062372297_zpid/,2062372297,House for sale,SINGLE_FAMILY,250 Southwood Dr,,N2E2B1,Kitchener,ON,43.409737,-80.468834,799000,2,3,,,,2024-06-11
https://www.zillow.com/homedetails/15-Pioneer-Ridge-Dr-Kitchener-ON-N2P-2L5/2063020535_zpid/,2063020535,House for sale,SINGLE_FAMILY,15 Pioneer Ridge Dr,,N2P2L5,Kitchener,ON,43.405373,-80.408936,1575000,3,5,2919,9800,sqft,2024-06-28
https://www.zillow.com/homedetails/107-Donnenwerth-Dr-Kitchener-ON-N2E-4C9/2063444936_zpid/,2063444936,Townhouse for sale,TOWNHOUSE,107 Donnenwerth Dr,,N2E4C9,Kitchener,ON,43.402073,-80.50933,675000,3,4,1472,,,2024-07-23
https://www.zillow.com/homedetails/133-Woodbine-Ave-Kitchener-ON-N2R-1Y2/353284387_zpid/,353284387,Multi-family home for sale,MULTI_FAMILY,133 Woodbine Ave,,N2R1Y2,Kitchener,ON,43.387623,-80.48569,899900,3,5,,,,2024-05-10
https://www.zillow.com/homedetails/232-Blackhorne-Dr-Kitchener-ON-N2E-1Z4/2064672622_zpid/,2064672622,Townhouse for sale,TOWNHOUSE,232 Blackhorne Dr,,N2E1Z4,Kitchener,ON,43.415073,-80.48807,699900,3,3,1305,0,sqft,2024-01-02
https://www.zillow.com/homedetails/91-Hillsborough-Cres-Kitchener-ON-N2E-1J5/379927021_zpid/,379927021,House for sale,SINGLE_FAMILY,91 Hillsborough Cres,,N2E1J5,Kitchener,ON,43.417744,-80.5059,699999,2,4,989,,,2024-01-23
